表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト+ハッシュタグ
マインクラフトで現代的なオフィスビルを建築している画面。ガラス張りの高層ビル、エントランス、内装まで細部まで作り込まれている。都会的で洗練された建築物。青い空。,建築スキルで,空間認識能力\nアップ,マインクラフトの内装デザイン画面。家具、照明、装飾が配置されたおしゃれな室内。色彩バランスとレイアウトが考えられたデザイン。,デザインセンスも,同時に磨かれる,小学生が建築の設計図をノートに描いている写真。鉛筆で丁寧に図面を書いている様子。計画的に考える力を育む。明るいデスク環境。,計画を立てる力,設計図から\nスタート,マインクラフトで和風建築を作っている画面。日本の伝統的な建築様式を学びながら再現。文化も学べる建築プロジェクト。,和風建築で,伝統文化も\n学べる,建築スキルを磨くことで、空間認識能力がアップします。3D空間をイメージする力、デザインセンス、色彩バランスなど、様々な力が同時に育ちます。設計図を描いて計画を立てることで、論理的思考力や計画性も身につきます。遊びながら多角的な能力が伸びる学習です。\n#建築スキル\n#空間認識能力\n#デザインセンス\n#計画性
アニメ調イラストで、青いパーカーの男の子キャラクターが楽しそうに笑っている絵。背景は明るい黄色とオレンジのグラデーション。音符、星、ハートが周りに浮かんでいる。,楽しいから\n続けられる,遊びが学びに\n変わる瞬間,小学生がマインクラフトに夢中になっている写真。目を輝かせて画面を見ている様子。本当に楽しんでいることが伝わる表情。明るい教室、自然光。,夢中になれる,それが\n最高の学習環境,3人の小学生が笑顔でパソコンを囲んでいる写真。楽しそうに会話しながら学習している様子。友達と一緒だから楽しい雰囲気。明るい教室環境。,仲間と一緒,笑顔があふれる\n教室,小学生が授業を終えた後、満足そうな笑顔で帰る様子。次の授業が楽しみという表情。継続したくなる環境。,また来たい,次回が楽しみ\nになる授業,楽しいから続けられる。それが if(Tech)の最大の特徴です。遊びが学びに変わる瞬間、子どもたちは夢中になります。夢中になれることが最高の学習環境です。仲間と一緒に笑顔があふれる教室で、お子さんの可能性を一緒に広げていきませんか。\n#楽しく学ぶ\n#遊びが学び\n#夢中になれる\n#笑顔の教室
マインクラフトでピラミッドを建築している画面。古代エジプトの壮大なピラミッドが砂漠に建っている。歴史的建造物の再現。青い空と砂漠の対比。,世界遺産を\n再現しよう,歴史も学べる\n建築プロジェクト,小学生が世界遺産について調べている写真。パソコンで資料を見ながらノートにメモを取っている。建築前の下調べ。明るい教室環境。,調べることで,知識も深まる,マインクラフトで万里の長城を建築している画面。長大な城壁が山々を越えて続いている様子。スケールの大きさを体感。,万里の長城,スケール感も\n学べる,完成した世界遺産建築の前で記念撮影のような構図の画面。達成感と学びの喜び。歴史への興味が深まる。,完成した喜び,歴史への興味が\n広がる,世界遺産を再現するプロジェクトでは、歴史も同時に学べます。ピラミッド、万里の長城、マチュピチュなど、実際の建造物を調べながら再現することで、歴史への興味が深まります。建築を通じて世界の文化に触れる貴重な体験です。\n#世界遺産\n#歴史学習\n#文化学習\n#グローバル教育
小学生がパソコンでマインクラフトのMODを導入している写真。新しい機能を追加する楽しさ。講師がサポートしている様子。明るい教室、自然光。,MODで\n可能性無限大,カスタマイズの\n楽しさを知ろう,マインクラフトに工業MODを導入した画面。機械や装置が追加されたゲーム画面。複雑なシステムを構築できる。,工業MODで,本格的な\n自動化を体験,小学生がMODの設定を調整している写真。自分好みにカスタマイズする楽しさ。試行錯誤しながら理想の環境を作る。,設定を変えて,自分だけの\nゲームを作る,複数のMODを組み合わせた独自のワールドの画面。創造力と技術力の両方が必要。オリジナリティあふれる作品。,組み合わせで,無限の可能性が\n広がる,MODを使うことで、マインクラフトの可能性は無限に広がります。工業MOD、魔法MOD、冒険MODなど、様々な要素を追加して自分だけのゲームを作れます。カスタマイズを通じて、より深いプログラミング的思考とシステム理解が身につきます。\n#マインクラフトMOD\n#カスタマイズ\n#システム理解\n#無限の可能性
アニメ調イラストで、青いパーカーの男の子と仲間たちがチームで協力している絵。背景はカラフルなグラデーション。協力を示すアイコンが浮かんでいる。,共同制作で\n学ぶ力,役割分担と\nチームワーク,小学生3人がそれぞれの役割を分担して作業している写真。建築担当、装飾担当、システム担当に分かれている様子。明るい教室、自然光。,役割分担で,効率的に\n進める,マインクラフトで大規模な街を共同制作している画面。複数人で協力して作り上げた壮大な都市。チームワークの成果。,みんなで作る,一人では\nできない規模,完成した共同作品の前でチーム全員が笑顔を見せている写真。達成感を分かち合う喜び。仲間との絆も深まる。,達成感を,みんなで\n分かち合う,共同制作プロジェクトでは、役割分担とチームワークを学びます。建築担当、装飾担当、システム担当など、それぞれの得意分野を活かして大規模な作品を完成させます。協力することの大切さと、チームで成し遂げる喜びを体験できます。\n#共同制作\n#チームワーク\n#役割分担\n#協力する力
マインクラフトで音楽を演奏する装置を作っている画面。音符ブロックを使った楽曲演奏システム。音楽とプログラミングの融合。,音楽も\nプログラミング,音符ブロックで\n作曲しよう,小学生が音符ブロックの配置を調整している写真。メロディを考えながら配置を決めている。創造的な音楽制作。明るい教室環境。,音階を学び,リズムを\n作り出す,完成した楽曲が演奏されているマインクラフト画面。複雑な楽曲も再現可能。音楽理論も自然と学べる。,完成した曲,感動の\n自動演奏,小学生が自分の作った楽曲を友達に聞かせている写真。音楽を通じた表現力。プログラミングの新しい側面を発見。,音楽で表現,新しい\n創造の形,音楽もプログラミングで表現できます。音符ブロックを使って楽曲を作ることで、音階やリズムを学びながらプログラミング的思考も育ちます。有名な曲の再現から、オリジナル曲の作曲まで、音楽を通じた新しい創造の形を体験できます。\n#音楽プログラミング\n#音符ブロック\n#作曲\n#創造的表現
小学生がパソコンでタイピング練習をしている写真。正しい指の位置を意識しながら練習している様子。基礎スキルの習得。明るい教室、自然光。,基礎から\nしっかり,タイピングスキルも\n大切,タイピング速度が向上していくグラフのイメージ画面。練習の成果が見える化されている。モチベーション維持に効果的。,練習の成果,目に見える\n上達,小学生が速いタイピングでプログラミングコードを書いている写真。スムーズな入力作業。効率的な学習を支える基礎スキル。,速く正確に,効率的な\n作業を実現,タイピングゲームで楽しく練習している画面。ゲーム感覚で上達できる。楽しみながらスキルアップ。,ゲームで楽しく,遊びながら\n上達できる,タイピングスキルは全ての学習の基礎となります。正しい指の位置から学び、練習を重ねることで速く正確に入力できるようになります。タイピングゲームも活用しながら、楽しく効率的にスキルアップできる環境を用意しています。\n#タイピング\n#基礎スキル\n#効率的学習\n#スキルアップ
マインクラフトでミニゲームを作っている画面。障害物競走やパズルゲームなどのゲーム要素。ゲーム制作の楽しさ。,ゲームを\n作る側へ,遊ぶから作るへ\nステップアップ,小学生がゲームのルールを考えている写真。ノートに設計図やルールを書き出している様子。企画力も育つ。明るい教室環境。,ルールを考え,企画力も\n身につく,完成したミニゲームで友達が遊んでいるマインクラフト画面。自分の作ったゲームで遊んでもらえる喜び。達成感と創造の楽しさ。,友達が遊ぶ,自分の作品で\n楽しむ姿,小学生がゲームのバランス調整をしている写真。難易度を調整したり、バグを修正したり。本格的なゲーム開発プロセス。,調整も大切,完成度を\n高める工夫,ゲームを遊ぶ側から作る側へステップアップできます。ミニゲーム制作を通じて、ルール設計、プログラミング、バランス調整など、ゲーム開発の全工程を体験できます。自分の作ったゲームで友達が遊んでくれる喜びは、次の創作への原動力になります。\n#ゲーム制作\n#企画力\n#創作の喜び\n#ゲーム開発
アニメ調イラストで、グレーのシャツの男の子キャラクターがメダルを持って喜んでいる絵。背景はキラキラしたゴールドのグラデーション。達成の喜びを表現。,コンテストに\n挑戦,目標を持つ\n大切さ,プログラミングコンテストの告知画面イメージ。様々なコンテスト情報。挑戦する機会が豊富。,様々な大会,挑戦の場が\nたくさん,小学生がコンテスト用の作品を制作している写真。真剣な表情で完成度を高めている様子。目標に向かって努力する姿。明るい教室、自然光。,目標に向かい,全力で\n取り組む,コンテストで入賞した小学生が賞状を持って笑顔を見せている写真。努力が実った喜び。自信につながる成功体験。,入賞の喜び,自信につながる\n成功体験,プログラミングコンテストへの挑戦をサポートします。全国大会から地域イベントまで、様々な挑戦の場があります。目標を持って取り組むことで、より高いモチベーションと集中力が生まれます。入賞の喜びは自信につながる貴重な成功体験です。\n#コンテスト\n#挑戦\n#目標達成\n#成功体験
明るい教室で小学生が笑顔で学習している写真の複数枚コラージュ。様々な学習場面、様々な表情。1年間の成長の軌跡。,1年間で\nこんなに成長,ビフォーアフター\nの記録,初日と1年後の作品を並べた比較画像。明らかな技術の向上と創造性の発展。成長が一目でわかる。,作品の変化,明らかな\n技術向上,小学生のインタビュー場面の写真。1年間の感想を笑顔で語っている様子。自信に満ちた表情。明るい環境。,子どもの声,楽しかった\n1年間,保護者のインタビュー場面の写真。子どもの成長を喜んでいる様子。安心と満足の表情。,保護者の声,成長を実感\nできました,1年間の学習を通じて、子どもたちは大きく成長します。最初は基本的な操作から始まり、最終的には複雑な作品を作れるようになります。技術面だけでなく、自信や表現力、協調性なども育ちます。ビフォーアフターで成長を実感できる喜びをお届けします。\n#1年間の成長\n#ビフォーアフター\n#技術向上\n#成長の記録
