動画タイトル説明,動画タイトルテキストエリア1,動画タイトルテキストエリア2,動画場面1説明,動画場面1テキストエリア1,動画場面1テキストエリア2,動画場面2説明,動画場面2テキストエリア1,動画場面2テキストエリア2,動画場面3説明,動画場面3テキストエリア1,動画場面3テキストエリア2,投稿のテキスト,ハッシュタグ
日本の城建築プロジェクト,歴史を学びながら,建築技術も習得,マインクラフトの城建築作業場面,日本の城再現,歴史も学べる,城の細部再現作業の様子,大阪城・熊本城,姫路城を細部まで再現,完成した城と満足げな子どもたち,歴史の知識も,同時習得,"マインクラフトで日本の城再現
歴史を学びながら
建築技術も身につく一石二鳥の学習！

🏯 大阪城・熊本城・姫路城
📚 歴史の知識も同時習得
🔨 建築スキルの向上

遊びながら学ぶ最高の教材です！",#日本の城再現 #歴史学習 #一石二鳥 #遊びながら学習
プログラミング思考説明図,論理的思考力を,楽しく育成,プログラミング思考の説明図表示,プログラミング,思考力養成,if文とloop文の概念説明画面,順序立てて考える力,問題解決スキル,デバッグ(間違い探し)の様子,試行錯誤で学ぶ力,創造性と論理性の両立,"プログラミング思考力養成
論理的思考力を楽しく育てます！

✅ 順序立てて考える力
✅ 問題解決スキル
✅ アルゴリズム思考
✅ デバッグ能力

遊びながら身につく
21世紀型スキルです",#プログラミング思考 #論理的思考力 #21世紀型スキル #問題解解決能力
コマンドブロック画面,マイクラで学ぶ,プログラミング基礎,コマンドブロックでの仕組み作り,コマンド,プログラミング,コマンドブロック作品の動作デモ,コマンドブロックで,仕組み作り,完成したシステムが動く瞬間,作ったプログラムが,動いた！感動の瞬間,"コマンドプログラミングから始めよう

✅ コマンドブロックで基礎学習
✅ ゲームの中でプログラミング
✅ 本格的なコード記述へ
✅ プログラマーへの第一歩

楽しみながら本格的なスキルを習得！",#コマンドプログラミング #マインクラフト #プログラミング基礎 #コマンドブロック
オンライン発表会の様子,全国の仲間と,つながろう,月1回の作品発表会開催,オンライン交流,イベント,他地域の生徒とのコラボレーション作業,月1回の作品発表会,他地域とのコラボ,プログラミングコンテスト参加場面,オンライン文化祭,距離を超えた友情,"オンライン交流イベント
全国の仲間とつながろう！

🎉 月1回の作品発表会
🤝 他地域との共同プロジェクト
🏆 プログラミングコンテスト
🎪 オンライン文化祭

距離を超えた友情が芽生える場所です",#オンライン交流 #全国の仲間 #作品発表会 #距離を超えた友情
職業選択肢のイラスト,プログラミングで,広がる未来,ゲームクリエイターの仕事説明,将来の職業と,プログラミング,Webデザイナーの作品制作画面,ゲームクリエイター,Webデザイナー他,建築エンジニアの3D設計作業,建築エンジニア,選択肢は無限大,"将来の職業とプログラミング
IT業界以外でも活躍できる技術！

💼 ゲームクリエイター
🎨 Webデザイナー
📊 データサイエンティスト
🏗️ 建築エンジニア

選択肢は無限大！
あなたの可能性を広げます",#将来の職業 #プログラミングキャリア #可能性無限大 #夢を仕事に
保護者勉強会の様子,保護者も一緒に,学びましょう,家庭での声かけ方法を説明する画面,保護者向け,勉強会開催,プログラミング教育の最新動向解説,家庭での声かけ方法,最新動向を共有,質問・相談タイムの様子,子どもの将来設計,保護者同士のネットワーク,"保護者向け勉強会開催
子どもの学習を効果的にサポート！

💡 家庭での声かけ方法
📈 プログラミング教育の動向
🎯 子どもの将来設計
💬 質問・相談タイム

保護者の皆様も一緒に学びましょう",#保護者向け勉強会 #家庭サポート #教育情報 #保護者ネットワーク
ビフォー・アフター動画,1年間の成長を,動画で記録,1年間の成長をビフォー・アフター比較,成果発表,動画制作,作品制作プロセス公開画面,ビフォー・アフター比較,制作プロセス公開,生徒・保護者インタビューの感動場面,インタビュー形式,プロ並みの仕上がり,"成果発表動画制作
1年間の成長を動画で記録！

📹 ビフォー・アフター比較
🎬 作品制作プロセス公開
🎤 生徒・保護者インタビュー
✨ 感動的な編集仕上げ

成長の軌跡を永遠の記録として
お渡しします",#成果発表動画 #成長記録 #ビフォーアフター #感動の記録
業界のプロ講師紹介,業界のプロから,直接学ぶ,現役ゲームクリエイターの特別講演,特別講師,招待企画,AI研究者特別講演の様子,現役ゲームクリエイター,AI研究者特別講演,起業家トークセッションと質疑応答タイム,起業家トークセッション,将来への道筋が見える,"特別講師招待企画
業界のプロから直接学ぶ機会！

🎮 現役ゲームクリエイター
🤖 AI研究者特別講演
💼 起業家トークセッション
💬 直接質疑応答タイム

将来への道筋が見える
貴重な体験をお届けします！",#特別講師 #プロから学ぶ #業界の最前線 #将来への道筋
卒業生の活躍紹介,先輩たちの,輝く未来,プログラミング甲子園出場の先輩紹介,卒業生,進路報告会,難関大学情報学部合格の先輩,プログラミング甲子園,難関大学合格,IT企業内定獲得とゲーム会社起業の先輩たち,IT企業内定,ゲーム会社起業,"卒業生進路報告会
先輩たちの輝く未来を紹介！

🏆 プログラミング甲子園出場
🎓 難関大学情報学部合格
💼 IT企業内定獲得
🚀 ゲーム会社起業

未来は君たちの手の中！
先輩たちに続こう",#卒業生進路 #先輩の活躍 #輝く未来 #夢の実現
秘密基地プロジェクトタイトル,みんなで作る,夢の秘密基地,みんなでの秘密基地建築シーン,創造力と,チームワーク,建築中の協力作業,みんなで力を合わせて,一人ひとりのアイデアを形に,完成した秘密基地での記念撮影,世界に一つだけの,秘密基地完成,"みんなの夢の秘密基地完成

マインクラフトの中でみんなで力を合わせて建築！
一人ひとりのアイデアが詰まった
世界に一つだけの秘密基地

創造力とチームワークが
同時に育つ最高のプロジェクト！",#秘密基地 #チームワーク #創造力 #夢のプロジェクト
マイホーム設計図,設計から完成まで,計画性を育成,理想の家の設計図作成,理想の家,建築プロジェクト,コツコツと建築作業する様子,設計図作りから開始,コツコツと建築,完成した家での喜びの瞬間,夢の家が完成,想像力が現実に,"理想のマイホーム建築プロジェクト

📐 設計図作りから開始
🔨 コツコツと建築作業
🏡 夢の家がついに完成
✨ 想像力が現実になる瞬間

建築を通じて計画性と継続力を育成！",#マイホーム建築 #設計図 #計画性 #継続力
東成瀬村小学校外観,ふるさとを,デジタルで表現,東成瀬村小学校の実物写真,東成瀬村小学校,再現プロジェクト,細部まで忠実に再現する建築作業,母校を細部まで,忠実に再現,完成した学校での感動の瞬間,ふるさとへの愛着,デジタルでふるさとを,"東成瀬村小学校デジタル再現プロジェクト

🏫 母校を細部まで忠実に再現
👀 観察力と記憶力がアップ
❤️ ふるさとへの愛着が深まる
🌾 地域とのつながりを実感

デジタル技術でふるさとを表現！",#ふるさと再現 #東成瀬村 #地域愛 #観察力
東成瀬村役場外観,地域の中心を,再現しよう,東成瀬村役場の実物写真,東成瀬村役場,建築プロジェクト,役場建築の詳細作業,地域の中心,役場を再現,完成した役場での誇らしい表情,地域社会への理解,地域貢献への意欲,"東成瀬村役場建築プロジェクト

🏛️ 地域の中心となる役場を再現
📚 行政の役割も自然と学習
🌍 地域社会への理解が深まる
💪 将来の地域貢献への意欲

建築を通じて社会勉強もできる！",#役場建築 #地域社会 #社会勉強 #地域貢献
Discord画面イメージ,オンラインでも,安心のサポート,Discord画面での授業風景,Discordで,オンライン授業,画面共有でのサポート場面,画面共有で,講師が直接サポート,授業後のチャットサポート,授業後も,サポート継続,"Discordでオンライン授業

🎧 音声チャットでリアルタイム指導
🖥️ 画面共有で講師が直接サポート
💬 チャット機能で質問も簡単
📱 授業後もサポート継続

オンラインでも安心の学習環境！",#Discord #オンライン授業 #画面共有 #リアルタイムサポート
木曜日カレンダー表示,毎週木曜日,17:00開講,毎週木曜日17:00の授業開始場面,決まった時間で,習慣化,授業の流れ（挨拶→目標確認→建築→発表）,楽しい仲間と,一緒に学習,宿題なしでリラックスした子どもたち,宿題なし,負担軽く楽しく,"毎週木曜日17:00〜18:00開講

⏰ 決まった時間で習慣化
👫 楽しい仲間と一緒に学習
📝 宿題なしで負担軽く
⚡ 1時間集中で効果的学習

オンラインで全国どこからでも参加OK！",#毎週木曜日 #オンライン授業 #宿題なし #習慣化
ワールドツアータイトル,作品を見て回る,ワールドツアー,ワールドツアーで生徒作品を見学,みんなの作品を,見て回ろう,Aくんの秘密基地見学/Bさんのお城探検/Cくんの遊園地体験,秘密基地見学,お城・遊園地探検,作品説明でのプレゼン練習場面,自分の作品を自慢,発表力もアップ,"ワールドツアーで作品発表

🏰 みんなの秘密基地見学
🏯 お城やお屋敷を探検
🎡 遊園地で遊び体験
🎤 作品の説明もプレゼン練習

自分の作品を自慢して発表力もアップ！",#ワールドツアー #作品発表 #プレゼン練習 #発表力
コンテストトロフィー画像,学んだスキルを,実際に活用,プログラミングコンテスト参加場面,イベント参加で,実践経験,地域イベントでの作品展示,プログラミングコンテスト,地域イベント展示,作品販売体験の様子,作品販売で,ビジネス体験,"イベント参加で実践経験

🏆 プログラミングコンテスト参加
🎪 地域イベントで作品展示
💰 作品販売でビジネス体験
🌟 実社会でのスキル活用

学んだことを実際に活かす機会を提供！",#イベント参加 #コンテスト #ビジネス体験 #実践経験
卒業式会場イメージ,1年間の成長を,みんなで祝う,1年間の集大成発表会開催,学習の集大成,発表会,各自の最高傑作プレゼンテーション,各自の最高傑作,1年間の学習成果,修了証書授与と記念写真撮影,修了証書授与,新しいスタートへ,"学習の集大成・卒業式

🎓 1年間の学習成果を発表
🏆 各自の最高傑作お披露目
📜 修了証書授与式
📸 思い出の記念撮影

1年間の成長を祝福する特別な日！",#集大成発表会 #1年間の成長 #修了証書 #感謝の気持ち
